scenario,workload,init,weather,d_min,q_kW,q_pct_of_base,P_base_kW,cop_ref,peak_T_j_C,peak_T_f_C
S1,nominal,nominal,dry,5,227.39027216269224,78.8853854868422,288.2539912296177,3.7986213,77.48347817606579,
S1,nominal,nominal,dry,10,196.21890924609934,68.07153247352437,288.2539912296177,3.7986213,84.82653590182099,
S1,nominal,nominal,dry,15,130.3573543001641,45.223087369612124,288.2539912296177,3.7986213,84.99798284311906,
S1,nominal,nominal,dry,20,97.11325642674619,33.690168872419044,288.2539912296177,3.7986213,85.0,
S1,nominal,nominal,dry,30,64.3029868001056,22.30775245324636,288.2539912296177,3.7986213,85.0,
S1,nominal,nominal,dry,45,42.6758453126138,14.804945156377391,288.2539912296177,3.7986213,85.0,
S1,nominal,nominal,dry,60,31.926545420242334,11.075838112094083,288.2539912296177,3.7986213,84.99507103278026,
S1,nominal,nominal,humid,5,227.39027216269224,78.8853854868422,288.2539912296177,3.7986213,77.48347817606579,
S1,nominal,nominal,humid,10,196.21890924609934,68.07153247352437,288.2539912296177,3.7986213,84.82653590182099,
S1,nominal,nominal,humid,15,130.3573543001641,45.223087369612124,288.2539912296177,3.7986213,84.99798284311906,
S1,nominal,nominal,humid,20,97.11325642674619,33.690168872419044,288.2539912296177,3.7986213,85.0,
S1,nominal,nominal,humid,30,64.3029868001056,22.30775245324636,288.2539912296177,3.7986213,85.0,
S1,nominal,nominal,humid,45,42.6758453126138,14.804945156377391,288.2539912296177,3.7986213,85.0,
S1,nominal,nominal,humid,60,31.926545420242334,11.075838112094083,288.2539912296177,3.7986213,84.99507103278026,
S1,nominal,precooled,dry,5,252.76119074274396,87.68696997551689,288.2539912296177,3.7986213,71.50649842486658,
S1,nominal,precooled,dry,10,218.1192018519324,75.6691003380358,288.2539912296177,3.7986213,79.66941163641091,
S1,nominal,precooled,dry,15,185.06791653263775,64.20307165329625,288.2539912296177,3.7986213,84.99976938548107,
S1,nominal,precooled,dry,20,137.84490848528384,47.82064175322352,288.2539912296177,3.7986213,85.0,
S1,nominal,precooled,dry,30,91.28067666451773,31.666752045700296,288.2539912296177,3.7986213,85.0,
S1,nominal,precooled,dry,45,60.57527742038932,21.014549412478452,288.2539912296177,3.7986213,85.0,
S1,nominal,precooled,dry,60,45.32701793180857,15.72468007761319,288.2539912296177,3.7986213,84.99616009499135,
S1,nominal,precooled,humid,5,231.02157526534688,80.14514362138334,288.2539912296177,3.7986213,76.62962392589446,
S1,nominal,precooled,humid,10,199.3521132506022,69.15849192589394,288.2539912296177,3.7986213,84.09019017052609,
S1,nominal,precooled,humid,15,138.18233045499952,47.937698925017166,288.2539912296177,3.7986213,84.99941310629976,
S1,nominal,precooled,humid,20,102.92976847613102,35.70801154809999,288.2539912296177,3.7986213,85.0,
S1,nominal,precooled,humid,30,68.14317016972709,23.63997455127881,288.2539912296177,3.7986213,85.0,
S1,nominal,precooled,humid,45,45.230611654746944,15.691235171386433,288.2539912296177,3.7986213,85.0,
S1,nominal,precooled,humid,60,33.83860324863127,11.73916208559141,288.2539912296177,3.7986213,84.99402738578162,
S1,burst,nominal,dry,5,227.39027216269224,78.8853854868422,288.2539912296177,3.7986213,77.48347817606579,
S1,burst,nominal,dry,10,115.91248045376356,40.2119255866365,288.2539912296177,3.7986213,84.99932998119442,
S1,burst,nominal,dry,15,112.32938048963973,38.96888990520872,288.2539912296177,3.7986213,84.99849610349537,
S1,burst,nominal,dry,20,83.68064848949274,29.030178604824346,288.2539912296177,3.7986213,85.0,
S1,burst,nominal,dry,30,34.52951490090627,11.978850580216497,288.2539912296177,3.7986213,85.0,
S1,burst,nominal,dry,45,30.86607637256443,10.707944143599764,288.2539912296177,3.7986213,85.0,
S1,burst,nominal,dry,60,23.089303356259805,8.010055041308101,288.2539912296177,3.7986213,84.99343048723435,
S1,burst,nominal,humid,5,227.39027216269224,78.8853854868422,288.2539912296177,3.7986213,77.48347817606579,
S1,burst,nominal,humid,10,115.91248045376356,40.2119255866365,288.2539912296177,3.7986213,84.99932998119442,
S1,burst,nominal,humid,15,112.32938048963973,38.96888990520872,288.2539912296177,3.7986213,84.99849610349537,
S1,burst,nominal,humid,20,83.68064848949274,29.030178604824346,288.2539912296177,3.7986213,85.0,
S1,burst,nominal,humid,30,34.52951490090627,11.978850580216497,288.2539912296177,3.7986213,85.0,
S1,burst,nominal,humid,45,30.86607637256443,10.707944143599764,288.2539912296177,3.7986213,85.0,
S1,burst,nominal,humid,60,23.089303356259805,8.010055041308101,288.2539912296177,3.7986213,84.99343048723435,
S1,burst,precooled,dry,5,252.76119074274396,87.68696997551689,288.2539912296177,3.7986213,71.50649842486658,
S1,burst,precooled,dry,10,199.09502984510456,69.06930550928926,288.2539912296177,3.7986213,84.99901279702127,
S1,burst,precooled,dry,15,167.0238750092698,57.94330003785506,288.2539912296177,3.7986213,84.99822632088166,
S1,burst,precooled,dry,20,124.4123005480304,43.160651485628826,288.2539912296177,3.7986213,85.0,
S1,burst,precooled,dry,30,66.98629484498755,23.238635676557738,288.2539912296177,3.7986213,85.0,
S1,burst,precooled,dry,45,48.76550848033995,16.917548399700824,288.2539912296177,3.7986213,85.0,
S1,burst,precooled,dry,60,36.489775867826026,12.658897006827202,288.2539912296177,3.7986213,84.99451954944537,
S1,burst,precooled,humid,5,231.02157526534688,80.14514362138334,288.2539912296177,3.7986213,76.62962392589446,
S1,burst,precooled,humid,10,127.80258795803095,44.33679735460308,288.2539912296177,3.7986213,84.9998641291009,
S1,burst,precooled,humid,15,120.15435664447516,41.68350146061376,288.2539912296177,3.7986213,84.99992636667608,
S1,burst,precooled,humid,20,89.4971605388776,31.0480212805053,288.2539912296177,3.7986213,85.0,
S1,burst,precooled,humid,30,39.1570161998644,13.584206079100793,288.2539912296177,3.7986213,85.0,
S1,burst,precooled,humid,45,33.42084271469756,11.594234158608801,288.2539912296177,3.7986213,85.0,
S1,burst,precooled,humid,60,25.00136118464875,8.67337901480543,288.2539912296177,3.7986213,84.99238684023565,
S2,nominal,nominal,dry,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,77.48347817606579,23.68092208121215
S2,nominal,nominal,dry,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,25.47232361628538
S2,nominal,nominal,dry,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,84.78362509176793,30.564689467311442
S2,nominal,nominal,dry,20,257.0352023591427,89.16969415156971,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,nominal,dry,30,171.0247355073273,59.33126364626542,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,nominal,dry,45,113.50232352722288,39.37580293096759,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,nominal,dry,60,84.93393009129387,29.46496238577217,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,nominal,humid,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,77.48347817606579,23.68092208121215
S2,nominal,nominal,humid,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,25.47232361628538
S2,nominal,nominal,humid,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,84.78362509176793,30.564689467311442
S2,nominal,nominal,humid,20,257.0352023591427,89.16969415156971,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,nominal,humid,30,171.0247355073273,59.33126364626542,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,nominal,humid,45,113.50232352722288,39.37580293096759,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,nominal,humid,60,84.93393009129387,29.46496238577217,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,precooled,dry,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,71.50649842486658,16.198997719429144
