model,weather,init,d_min,F_lp_kW,q_vb_kW,rel_err
2-state,dry,nominal,10.0,196.22665689271008,190.3363920525252,-0.03001765883116201
2-state,dry,nominal,15.0,130.37311596133446,126.89092803501681,-0.02670940170940139
2-state,dry,nominal,20.0,97.11358024593265,95.1681960262626,-0.02003205128205043
2-state,dry,nominal,30.0,64.30422774270468,63.44546401750841,-0.013354700854699248
2-state,dry,nominal,45.0,42.6769344738683,42.29697601167227,-0.0089031339031318
2-state,dry,nominal,60.0,31.935979736696826,31.722732008754203,-0.006677350427348447
2-state,dry,precooled,10.0,218.12170212365416,198.5720450733007,-0.08962728999460443
2-state,dry,precooled,15.0,185.0697185084498,180.12661705256176,-0.02670940170940149
2-state,dry,precooled,20.0,137.85651149729983,135.09496278942132,-0.0200320512820506
2-state,dry,precooled,30.0,91.28235709864514,90.06330852628088,-0.013354700854699522
2-state,dry,precooled,45.0,60.58157152755928,60.042205684187245,-0.008903133903131955
2-state,dry,precooled,60.0,45.33436772282806,45.03165426314044,-0.006677350427349109
2-state,humid,nominal,10.0,196.22665689271008,190.3363920525252,-0.03001765883116201
2-state,humid,nominal,15.0,130.37311596133446,126.89092803501681,-0.02670940170940139
2-state,humid,nominal,20.0,97.11358024593265,95.1681960262626,-0.02003205128205043
2-state,humid,nominal,30.0,64.30422774270468,63.44546401750841,-0.013354700854699248
2-state,humid,nominal,45.0,42.6769344738683,42.29697601167227,-0.0089031339031318
2-state,humid,nominal,60.0,31.935979736696826,31.722732008754203,-0.006677350427348447
2-state,humid,precooled,10.0,199.35452049713066,198.5720450733007,-0.003925044798977817
2-state,humid,precooled,15.0,138.18691632520802,134.49602646609466,-0.026709401709400882
2-state,humid,precooled,20.0,102.93399899612797,100.87201984957099,-0.020032051282050524
2-state,humid,precooled,30.0,68.15824622212473,67.24801323304733,-0.01335470085469906
2-state,humid,precooled,45.0,45.234739767252684,44.832008822031554,-0.008903133903130965
2-state,humid,precooled,60.0,33.850035163287,33.624006616523666,-0.006677350427348299
3-state,dry,nominal,10.0,263.2534072296177,263.2534072296178,2.211088605690748e-16
3-state,dry,nominal,15.0,263.2534072296177,263.2534072296178,2.211088605690748e-16
3-state,dry,nominal,20.0,257.0363601881279,253.12024036403324,-0.015235664795550385
3-state,dry,nominal,30.0,171.03088810193668,168.7468269093555,-0.013354670714332408
3-state,dry,nominal,45.0,113.50846418229814,112.49788460623698,-0.008903120867163954
3-state,dry,nominal,60.0,84.94059118407408,84.37341345467775,-0.006677346148523947
3-state,dry,precooled,10.0,263.2534072296177,263.2534072296178,2.211088605690748e-16
3-state,dry,precooled,15.0,263.2534072296177,263.2534072296178,2.211088605690748e-16
3-state,dry,precooled,20.0,263.2534072296177,263.2534072296178,2.211088605690748e-16
3-state,dry,precooled,30.0,259.40121395845347,256.7904664383721,-0.010064515428595856
3-state,dry,precooled,45.0,172.7314923963845,171.19364429224805,-0.008903113629142893
3-state,dry,precooled,60.0,129.25833440357331,128.39523321918605,-0.006677334876468972
3-state,humid,nominal,10.0,263.2534072296177,263.2534072296178,2.211088605690748e-16
3-state,humid,nominal,15.0,263.2534072296177,263.2534072296178,2.211088605690748e-16
3-state,humid,nominal,20.0,257.0363601881279,253.12024036403324,-0.015235664795550385
3-state,humid,nominal,30.0,171.03088810193668,168.7468269093555,-0.013354670714332408
3-state,humid,nominal,45.0,113.50846418229814,112.49788460623698,-0.008903120867163954
3-state,humid,nominal,60.0,84.94059118407408,84.37341345467775,-0.006677346148523947
3-state,humid,precooled,10.0,263.2534072296177,263.2534072296178,2.211088605690748e-16
3-state,humid,precooled,15.0,263.2534072296177,263.2534072296178,2.211088605690748e-16
3-state,humid,precooled,20.0,263.2534072296177,263.2534072296178,2.211088605690748e-16
3-state,humid,precooled,30.0,183.77879470455068,181.324489699215,-0.013354669178679099
3-state,humid,precooled,45.0,121.96889678431043,120.88299313281001,-0.008903119402815636
3-state,humid,precooled,60.0,91.27169743213551,90.6622448496075,-0.006677344671727557
