T_dew,F_kW,Ft_hod10_kW,Ft_hod05_kW,Ft_hod10_d15_kW,Ft_uniform_kW
8.0,92.67406130489621,24.63443097007882,0.0,80.46699543308607,0.0
10.0,92.67406130489621,24.63443097007882,0.0,80.46699543308607,0.0
12.0,92.67406130489621,24.63443097007882,0.0,80.46699543308607,0.0
14.0,92.67406130489621,23.718688483768485,0.0,77.85462958851903,0.0
16.0,92.67406130489621,0.0,0.0,0.0,0.0
18.0,85.06896279187376,0.0,0.0,0.0,0.0
20.0,77.46386444274536,0.0,0.0,0.0,0.0
22.0,69.85876557381704,0.0,0.0,0.0,0.0
24.0,62.2536648618362,0.0,0.0,0.0,0.0
26.0,54.64856414985535,0.0,0.0,0.0,0.0
