day,c_deg,sum_q_kW,exp_value_usd,offered_hours
scarcity (2024-01-16),0.5,1510.671997618869,916.49629619045,12
scarcity (2024-01-16),1.0,1510.671997618869,909.5048571635947,12
scarcity (2024-01-16),2.0,1453.905313217809,895.9504297052439,12
scarcity (2024-01-16),5.0,1330.6289156042858,858.8089926177862,11
scarcity (2024-01-16),10.0,1081.6258940639664,804.5726221776755,10
scarcity (2024-01-16),20.0,804.9528399253946,720.3480900596572,7
scarcity (2024-01-16),50.0,524.4240243108497,553.619966617688,5
mild (2024-04-03),0.5,640.8615419824563,20.38741837933906,6
mild (2024-04-03),1.0,387.39364968735134,18.713045893465903,4
mild (2024-04-03),2.0,243.2592531132641,16.25336243112168,2
mild (2024-04-03),5.0,221.0928485346619,10.280942828813178,2
mild (2024-04-03),10.0,165.78069113385823,3.949034976759105,2
mild (2024-04-03),20.0,66.18765159870104,0.05977289049769796,1
mild (2024-04-03),50.0,0.0,0.0,0
