variant,week,date,seed,revenue_usd,rebound_usd,penalty_usd,dwear_usd,shortfall_kWh,mv,sum_q_kW,delivery_ratio,warm,viol_K
single005,w03-jan-scarcity,2024-01-14,0,1.1709686025085206,0.13990271991457348,0.0,-6.894549575492192,0.0,7.925615458086213,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,1,1.1709686025085206,0.12896985619624957,0.0,-0.14582652631222004,0.0,1.1878252726245364,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,2,1.1709686025085206,-0.13465352382326046,1.1840816760068316,1.7410236401428563,43.75763769426576,-1.61948318981797,86.54609035539696,-0.01119848428917658,1,0.0998229619605695
ctxfree,w03-jan-scarcity,2024-01-14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,3,1.1709686025085206,-0.1434579728734775,0.0,9.756908830479063,0.0,-8.442482255097048,86.54609035539696,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,4,1.1709686025085206,0.1101871714470235,0.0,-7.34701666923327,0.0,8.407798100294713,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,5,1.1709686025085206,0.13277674122383587,0.0,-3.6076799788813787,0.0,4.6458718401660235,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,6,1.1709686025085206,0.08050005281705808,0.0,-8.012692357620864,0.0,9.103160907312258,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,7,1.1709686025085206,0.13630446299646337,0.0,-4.103096574145951,0.0,5.137760713657997,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,8,1.1709686025085206,0.13696659415484191,0.0,-8.599522620981404,0.0,9.633524629335056,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,9,1.1709686025085206,0.12787718306236684,0.0,-3.2443139777565833,0.0,4.287405397202747,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,10,1.1709686025085206,0.1252937864968544,0.0,-1.3412189717099352,0.0,2.3868937877216467,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,11,1.1709686025085206,-0.18775122365383368,0.0,2.18101790528722,0.0,-0.8222980791248915,86.54609035539696,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,12,1.1709686025085206,0.11967739861768223,0.0,-6.264303243862756,0.0,7.3155944477537105,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,13,1.1709686025085206,0.13943606645221962,0.0,-8.184097227768,0.0,9.215629763824325,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
single005,w03-jan-scarcity,2024-01-14,14,1.1709686025085206,0.12714304035949908,0.0,-0.13487816068705172,0.0,1.178703722836076,86.54609035539696,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0
