week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd
mild,2024-04-01,0,B1,0.0,0.0,102.26242940728193,0.0,65.70534416995591,-167.96777357723784,0.0,,0,0,0.0,4,0,0,0.0,0.0
mild,2024-04-01,0,B2,60.17189456657972,1.5175351809691402,102.21306480964766,0.0,63.47651933595557,-164.1720489646341,0.0,,0,0,0.0,5,0,0,3.795724612603749,-0.04936459763426626
mild,2024-04-01,0,B3,0.0,0.0,102.24557513157376,0.0,65.20498413087263,-167.4505592624464,0.0,,0,0,0.0,4,0,0,0.5172143147914312,-0.016854275708169553
mild,2024-04-01,0,B4,0.0,0.0,102.26242940728193,0.0,65.70534416995591,-167.96777357723784,0.0,,0,0,0.0,4,0,0,0.0,0.0
mild,2024-04-01,0,B5,950.0,7.651000000000001,0.0,0.0,0.0,-0.568178082191781,0.0,1.0,0,0,0.0,0,0,0,-0.568178082191781,0.0
mild,2024-04-01,0,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0.0,0,0,0,10.027,0.0
mild,2024-04-01,1,B1,0.0,0.0,102.41057687707034,0.0,84.45312648638968,-186.86370336346002,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-01,1,B2,60.17189456657972,1.5175351809691402,102.3575900572565,0.0,81.40492124149893,-182.24497611778628,0.0,,0,0,0.0,2,0,0,4.618727245673739,-0.05298681981383879
mild,2024-04-01,1,B3,0.0,0.0,102.39372260125688,0.0,83.46323093110576,-185.85695353236264,0.0,,0,0,0.0,2,0,0,1.0067498310973804,-0.016854275813457775
mild,2024-04-01,1,B4,0.0,0.0,102.41057687707034,0.0,84.45312648638968,-186.86370336346002,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-01,1,B5,950.0,7.651000000000001,1.4704166666666667,0.0,0.0,-2.038594748858448,0.0,1.0,0,0,0.0,0,0,0,-2.038594748858448,0.0
mild,2024-04-01,1,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0.0,0,0,0,10.027,0.0
mild,2024-04-01,2,B1,0.0,0.0,101.74751170466358,0.0,44.979512611562825,-146.7270243162264,0.0,,0,0,0.0,4,0,0,0.0,0.0
mild,2024-04-01,2,B2,60.17189456657972,1.5175351809691402,101.69226653729005,0.0,43.35220392869892,-143.52693528501985,0.0,,0,0,0.0,5,0,0,3.200089031206545,-0.05524516737352769
mild,2024-04-01,2,B3,0.0,0.0,101.73063705294963,0.0,44.63313067678868,-146.3637677297383,0.0,,0,0,0.0,4,0,0,0.36325658648809167,-0.016874651713948197
mild,2024-04-01,2,B4,0.0,0.0,101.74751170466358,0.0,44.979512611562825,-146.7270243162264,0.0,,0,0,0.0,4,0,0,0.0,0.0
mild,2024-04-01,2,B5,950.0,7.651000000000001,0.8829166666666668,0.0,0.0,-1.4510947488584476,0.0,1.0,0,0,0.0,0,0,0,-1.4510947488584476,0.0
mild,2024-04-01,2,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0.0,0,0,0,2.5269999999999992,0.0
mild,2024-04-01,3,B1,0.0,0.0,101.5188159536834,0.0,67.78846927462742,-169.30728522831083,0.0,,0,0,0.0,4,0,0,0.0,0.0
mild,2024-04-01,3,B2,60.17189456657972,1.5175351809691402,101.46114962554333,0.0,67.04021434214843,-166.98382878672263,0.0,,0,0,0.0,4,0,0,2.323456441588206,-0.057666328140072665
mild,2024-04-01,3,B3,0.0,0.0,101.50035509337565,0.0,67.78845937603987,-169.2888144694155,0.0,,0,0,0.0,4,0,0,0.018470758895318795,-0.018460860307754956
mild,2024-04-01,3,B4,0.0,0.0,101.5188159536834,0.0,67.78846927462742,-169.30728522831083,0.0,,0,0,0.0,4,0,0,0.0,0.0
mild,2024-04-01,3,B5,950.0,7.651000000000001,0.0,0.0,0.0,-0.568178082191781,0.0,1.0,0,0,0.0,0,0,0,-0.568178082191781,0.0
mild,2024-04-01,3,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0.0,0,0,0,10.027,0.0
mild,2024-04-01,4,B1,0.0,0.0,101.1220749187877,0.0,43.19906166102661,-144.32113657981432,0.0,,0,0,0.0,8,0,0,0.0,0.0
mild,2024-04-01,4,B2,60.17189456657972,1.5175351809691402,101.06496937752777,0.0,41.30652261433072,-140.85395681088937,0.0,,0,0,0.0,9,0,0,3.46717976892495,-0.05710554125992928
mild,2024-04-01,4,B3,0.0,0.0,101.10374766814292,0.0,43.198975010564844,-144.30272267870777,0.0,,0,0,0.0,8,0,0,0.018413901106555386,-0.018327250644787796
mild,2024-04-01,4,B4,0.0,0.0,101.1220749187877,0.0,43.19906166102661,-144.32113657981432,0.0,,0,0,0.0,8,0,0,0.0,0.0
mild,2024-04-01,4,B5,950.0,7.651000000000001,1.913888888888889,0.0,0.0,-2.4820669710806698,0.0,1.0,0,0,0.0,0,0,0,-2.4820669710806698,0.0
mild,2024-04-01,4,B6,500.0,10.027,15.0,0.0,0.0,-4.973000000000001,0.0,1.0,0,0,0.0,0,0,0,-4.973000000000001,0.0
mild,2024-04-01,5,B1,0.0,0.0,101.3420184577044,0.0,42.87457097589298,-144.2165894335974,0.0,,0,0,0.0,6,0,0,0.0,0.0
mild,2024-04-01,5,B2,60.17189456657972,1.5175351809691402,101.29334414513492,0.0,41.67958140467319,-141.45539036883898,0.0,,0,0,0.0,7,0,0,2.761199064758415,-0.04867431256947441
mild,2024-04-01,5,B3,0.0,0.0,101.32512466816199,0.0,42.42587217883347,-143.75099684699546,0.0,,0,0,0.0,6,0,0,0.4655925866019288,-0.016893789542407944
mild,2024-04-01,5,B4,0.0,0.0,101.3420184577044,0.0,42.87457097589298,-144.2165894335974,0.0,,0,0,0.0,6,0,0,0.0,0.0
mild,2024-04-01,5,B5,950.0,7.651000000000001,1.4548611111111112,0.0,0.0,-2.0230391933028926,0.0,1.0,0,0,0.0,0,0,0,-2.0230391933028926,0.0
mild,2024-04-01,5,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0.0,0,0,0,2.5269999999999992,0.0
mild,2024-04-01,6,B1,0.0,0.0,101.27486436401863,0.0,45.27306882660519,-146.5479331906238,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-01,6,B2,60.17189456657972,1.5175351809691402,101.22274594343092,0.0,43.04680717889673,-142.75201794135853,0.0,,0,0,0.0,3,0,0,3.7959152492652777,-0.05211842058770344
