week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,source,scale
w03-jan-scarcity,2024-01-14,0,B1,0.0,0.0,429.57283782759697,0.0,98.63712897539,-528.209966802987,0.0,,0,0,0,0,0,0,0.0,20,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,0,B2,517.520285267172,6.955472633990791,428.9184646464049,0.0,95.6845401125205,-517.6475321249346,0.0,,0,0,0,0,0,0,0.0,19,0,0,10.562434678052341,-0.6543731811920566,alibaba,1.0
w03-jan-scarcity,2024-01-14,0,B3,129.41990813629752,1.1447985921229167,426.21370214604366,0.0,110.68691432600839,-535.7558178799292,0.0,1.0,2,0,0,0,0,1,2.6028130716086935,19,0,1,-7.545851076942199,-3.3591356815533118,alibaba,1.0
w03-jan-scarcity,2024-01-14,0,B4,0.0,0.0,429.57283782759697,0.0,98.63712897539,-528.209966802987,0.0,,0,0,0,0,0,0,0.0,20,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,0,B5,200.0,2.094,2.189583333333333,0.0,0.0,-8.314761415525115,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-8.314761415525115,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,0,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,1,B1,0.0,0.0,435.3475543190057,0.0,109.58201826786832,-544.9295725868741,0.0,,0,0,0,0,0,0,0.0,19,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,1,B2,517.520285267172,6.955472633990791,434.7460924655175,0.0,105.10351877760404,-532.8941386091308,0.0,,0,0,0,0,0,0,0.0,19,0,0,12.03543397774331,-0.6014618534882175,alibaba,1.0
w03-jan-scarcity,2024-01-14,1,B3,129.41990813629752,1.1447985921229167,433.87772776575895,0.0,109.47100634692026,-542.2039355205563,0.0,1.0,1,0,0,0,0,0,0.0,19,0,0,2.725637066317745,-1.4698265532467758,alibaba,1.0
w03-jan-scarcity,2024-01-14,1,B4,0.0,0.0,435.3475543190057,0.0,109.58201826786832,-544.9295725868741,0.0,,0,0,0,0,0,0,0.0,19,0,0,0.0,0.0,alibaba,1.0
