week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,source,scale
w03-jan-scarcity,2024-01-14,0,B1,0.0,0.0,437.9430646978713,0.0,95.98955120117407,-533.9326158990453,0.0,,0,0,0,0,0,0,0.0,21,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,0,B2,517.520285267172,6.955472633990791,437.3005048161255,0.0,88.50864698653317,-518.8536791686679,0.0,,0,0,0,0,0,0,0.0,20,0,0,15.07893673037745,-0.6425598817457967,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,0,B3,304.8663350172681,4.181093632670767,436.96673684342556,0.0,117.62537082243792,-550.4110140331927,0.0,1.0,1,0,0,0,0,1,0.0,20,0,1,-16.47839813414737,-0.9763278544457421,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,0,B4,231.50877821309433,3.1124234906758277,437.3005048161255,0.0,88.50864698653317,-522.6967283119828,0.0,,0,0,0,0,0,0,0.0,20,0,0,11.235887587062507,-0.6425598817457967,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,0,B5,200.0,2.094,2.189583333333333,0.0,0.0,-8.314761415525115,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-8.314761415525115,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,0,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,1,B1,0.0,0.0,437.44651815161194,0.0,49.10919174658614,-486.5557098981981,0.0,,0,0,0,0,0,0,0.0,20,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,1,B2,517.520285267172,6.955472633990791,436.805105034668,0.0,42.26528985987034,-472.11492226054753,0.0,,0,0,0,0,0,0,0.0,20,0,0,14.440787637650544,-0.6414131169439656,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,1,B3,304.8663350172681,4.181093632670767,436.6900875740172,0.0,34.458097184719236,-466.96709112606567,0.0,,0,0,0,0,0,0,0.0,19,0,0,19.588618772132406,-0.756430577594756,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,1,B4,231.50877821309433,3.1124234906758277,436.805105034668,0.0,42.26528985987034,-475.9579714038625,0.0,,0,0,0,0,0,0,0.0,20,0,0,10.597738494335601,-0.6414131169439656,alibaba_jobaware,1.0
