week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,n_safety_episodes,n_safety_episodes_in_safe_box,safety_episode_max_K,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,source,scale
w03-jan-scarcity,2024-01-14,0,B1,0.0,0.0,437.88348475687445,0.0,87.59777608862649,-525.481260845501,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,21,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,0,B2,517.520285267172,6.955472633990791,437.2233767609156,0.0,80.6992662875274,-510.9671704144522,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,20,0,0,14.514090431048771,-0.6601079959588674,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,0,B3,248.8006451974789,3.4023488230755246,436.97760007433703,0.0,101.55184866360995,-535.1270999148715,0.0,1.0,1,0,0,0,0,0,0,0,0.0,0.19868580341641007,21,0,0,-9.645839069370481,-0.9058846825374189,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,0,B4,215.53909605485802,2.8968327259668514,437.2233767609156,0.0,80.6992662875274,-515.0258103224761,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,20,0,0,10.455450523024865,-0.6601079959588674,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,0,B5,200.0,2.094,2.189583333333333,0.0,0.0,-8.314761415525115,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-8.314761415525115,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,0,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,1,B1,0.0,0.0,437.46111529281296,0.0,45.76227074909011,-483.2233860419031,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,20,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,1,B2,517.520285267172,6.955472633990791,436.8212725134246,0.0,40.28300367121637,-470.1488035506502,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,20,0,0,13.074582491252897,-0.6398427793883457,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,1,B3,248.8006451974789,3.4023488230755246,436.6985305383634,0.0,32.51966025253766,-465.8158419678256,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,19,0,0,17.40754407407752,-0.7625847544495628,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,1,B4,215.53909605485802,2.8968327259668514,436.8212725134246,0.0,40.28300367121637,-474.2074434586741,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,20,0,0,9.015942583228991,-0.6398427793883457,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,1,B5,200.0,2.094,0.2816666666666667,0.0,0.0,-6.406844748858449,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-6.406844748858449,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,1,B6,300.0,4.088,0.0,0.0,0.0,4.088,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,4.088,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,2,B1,0.0,0.0,457.9276659259187,0.0,139.63091198824006,-597.5585779141587,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,24,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,2,B2,517.520285267172,6.955472633990791,456.82693042442804,2.492148855763135,160.1348511783996,-612.4984578246,92.09714914128364,0.2881658805413736,1,1,0,0,0,1,0,0,0.0,8.146698144498998,24,0,1,-14.939879910441277,-1.1007355014906466,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,2,B3,248.8006451974789,3.4023488230755246,457.12336866457883,0.0,125.92901925639708,-579.6500390979004,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,24,0,0,17.90853881625833,-0.8042972613398547,alibaba_jobaware,1.0
