week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,kappa
mild,2024-04-01,0,B1,0.0,0.0,102.31878015734657,0.0,30.439614951692718,-132.75839510903927,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,0,B2,0.0,0.0,102.26070896585263,0.0,30.43686209970495,-132.69757106555758,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.060824043481687795,-0.058071191493937135,1.0
mild,2024-04-01,0,B3,0.0,0.0,102.29638593965481,0.0,30.438553358756508,-132.73493929841132,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.02345581062795077,-0.022394217691754648,1.0
mild,2024-04-01,0,B4,0.0,0.0,102.31878015734657,0.0,30.439614951692718,-132.75839510903927,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,0,B5,950.0,7.651000000000001,0.0,0.0,0.0,-0.568178082191781,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-0.568178082191781,0.0,1.0
mild,2024-04-01,0,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,10.027,0.0,1.0
mild,2024-04-01,1,B1,0.0,0.0,102.4590219823756,0.0,35.732384418046124,-138.19140640042173,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,1,B2,0.0,0.0,102.40095079088167,0.0,35.517882165918614,-137.9188329568003,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.27257344362143954,-0.058071191493937135,1.0
mild,2024-04-01,1,B3,0.0,0.0,102.43662776468388,0.0,35.625889854930094,-138.06251761961397,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.12888878080775612,-0.022394217691726226,1.0
mild,2024-04-01,1,B4,0.0,0.0,102.4590219823756,0.0,35.732384418046124,-138.19140640042173,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,1,B5,950.0,7.651000000000001,1.4704166666666667,0.0,0.0,-2.038594748858448,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-2.038594748858448,0.0,1.0
mild,2024-04-01,1,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,10.027,0.0,1.0
mild,2024-04-01,2,B1,0.0,0.0,101.76305926421756,0.0,25.423425264988204,-127.18648452920576,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
