variant,week,date,seed,mv,sum_q_kW,n_obl,n_fail,clean_in_box,viol_K,warm
nested,w03-jan-scarcity,2024-01-14,0,10.455450523024865,215.53909605485802,0,0,0,0.0,0
single03,w03-jan-scarcity,2024-01-14,0,10.902498468512135,248.8006451974789,0,0,0,0.0,0
single005,w03-jan-scarcity,2024-01-14,0,7.925615458086213,86.54609035539696,0,0,0,0.0,0
ctxfree,w03-jan-scarcity,2024-01-14,0,0.0,0.0,0,0,0,0.0,0
windowonly,w03-jan-scarcity,2024-01-14,0,8.422131263047959,123.24348909610832,0,0,0,0.0,0
nested,w03-jan-scarcity,2024-01-14,1,9.015942583228991,215.53909605485802,0,0,0,0.0,0
single03,w03-jan-scarcity,2024-01-14,1,9.462990528716261,248.8006451974789,0,0,0,0.0,0
single005,w03-jan-scarcity,2024-01-14,1,1.1878252726245364,86.54609035539696,0,0,0,0.0,0
ctxfree,w03-jan-scarcity,2024-01-14,1,0.0,0.0,0,0,0,0.0,0
windowonly,w03-jan-scarcity,2024-01-14,1,1.684341077586339,123.24348909610832,0,0,0,0.0,0
nested,w03-jan-scarcity,2024-01-14,2,4.918292718972111,215.53909605485802,1,1,0,0.23375428188194292,1
single03,w03-jan-scarcity,2024-01-14,2,1.8149790118059173,248.8006451974789,1,1,0,2.196006029600568,1
single005,w03-jan-scarcity,2024-01-14,2,-1.61948318981797,86.54609035539696,1,1,0,0.0998229619605695,1
ctxfree,w03-jan-scarcity,2024-01-14,2,0.0,0.0,0,0,0,0.0,0
windowonly,w03-jan-scarcity,2024-01-14,2,-0.7050566304111499,123.24348909610832,1,1,0,1.4305297575886016,1
nested,w03-jan-scarcity,2024-01-14,3,-3.8013360278157506,215.53909605485802,1,0,0,0.0,1
single03,w03-jan-scarcity,2024-01-14,3,-8.578267663888596,248.8006451974789,1,0,0,0.7216028674229733,0
single005,w03-jan-scarcity,2024-01-14,3,-8.442482255097048,86.54609035539696,1,0,0,0.0,1
ctxfree,w03-jan-scarcity,2024-01-14,3,0.0,0.0,0,0,0,0.0,0
windowonly,w03-jan-scarcity,2024-01-14,3,-8.545897746423407,123.24348909610832,1,1,0,0.0,1
nested,w03-jan-scarcity,2024-01-14,4,11.67082643907736,215.53909605485802,0,0,0,0.0,0
single03,w03-jan-scarcity,2024-01-14,4,12.117874384564743,248.8006451974789,0,0,0,0.0,0
single005,w03-jan-scarcity,2024-01-14,4,8.407798100294713,86.54609035539696,0,0,0,0.0,0
ctxfree,w03-jan-scarcity,2024-01-14,4,0.0,0.0,0,0,0,0.0,0
windowonly,w03-jan-scarcity,2024-01-14,4,8.904313905256572,123.24348909610832,0,0,0,0.0,0
nested,w03-jan-scarcity,2024-01-14,5,-4.412807586530107,215.53909605485802,1,0,0,0.0,1
nested,w03-jan-scarcity,2024-01-14,6,19.84188491275063,215.53909605485802,0,0,0,0.0,0
nested,w03-jan-scarcity,2024-01-14,7,-5.5211481634553365,215.53909605485802,1,0,0,0.0,1
nested,w03-jan-scarcity,2024-01-14,8,14.174490689455524,215.53909605485802,0,0,0,0.0,0
nested,w03-jan-scarcity,2024-01-14,9,-3.5130148404501824,215.53909605485802,1,0,0,0.0,1
nested,w03-jan-scarcity,2024-01-14,10,5.109804747805583,215.53909605485802,0,0,0,0.0,0
nested,w03-jan-scarcity,2024-01-14,11,4.383976678253191,215.53909605485802,1,0,0,0.0,1
nested,w03-jan-scarcity,2024-01-14,12,-2.532243691610347,215.53909605485802,1,0,0,0.0,1
nested,w03-jan-scarcity,2024-01-14,13,11.82325561790168,215.53909605485802,0,0,0,0.0,0
nested,w03-jan-scarcity,2024-01-14,14,-3.303902350172052,215.53909605485802,1,1,0,0.0,1
nested,w03-jan-scarcity,2024-01-14,15,10.441686116343305,215.53909605485802,0,0,0,0.0,0
nested,w03-jan-scarcity,2024-01-14,16,-3.1021282886202926,215.53909605485802,1,0,0,0.0,1
nested,w03-jan-scarcity,2024-01-14,17,-1.7713818228709215,215.53909605485802,1,0,0,0.0,1
nested,w03-jan-scarcity,2024-01-14,18,4.918448788990588,215.53909605485802,1,0,0,0.0,1
nested,w03-jan-scarcity,2024-01-14,19,14.056895865665865,215.53909605485802,0,0,0,0.0,0
nested,w03-jan-scarcity,2024-01-15,0,263.90472951261654,1048.1398981461678,1,0,0,0.0,0
single03,w03-jan-scarcity,2024-01-15,0,319.00133218244144,1360.0116173399665,1,0,0,0.0,0
single005,w03-jan-scarcity,2024-01-15,0,214.39938266153445,757.2828229643818,1,0,0,0.0,0
ctxfree,w03-jan-scarcity,2024-01-15,0,203.3372171860891,812.6222022086596,1,0,0,0.0,0
windowonly,w03-jan-scarcity,2024-01-15,0,299.72145816788094,1222.8039981033164,1,0,0,0.0,0
nested,w03-jan-scarcity,2024-01-15,1,252.22670394597367,1048.1398981461678,1,0,0,0.0,1
single03,w03-jan-scarcity,2024-01-15,1,296.77399945682004,1360.0116173399665,1,0,0,0.0,0
single005,w03-jan-scarcity,2024-01-15,1,201.56578148406948,757.2828229643818,1,0,0,0.0,1
ctxfree,w03-jan-scarcity,2024-01-15,1,191.14995839982367,812.6222022086596,1,0,0,0.0,1
windowonly,w03-jan-scarcity,2024-01-15,1,292.3287485943776,1222.8039981033164,1,0,0,0.0,1
nested,w03-jan-scarcity,2024-01-15,2,243.55186965034613,1048.1398981461678,3,0,0,0.0,3
single03,w03-jan-scarcity,2024-01-15,2,276.4011610934027,1360.0116173399665,3,1,0,0.0,2
single005,w03-jan-scarcity,2024-01-15,2,194.84462156577933,757.2828229643818,3,0,0,0.0,3
ctxfree,w03-jan-scarcity,2024-01-15,2,187.91088069957163,812.6222022086596,3,0,0,0.0,3
windowonly,w03-jan-scarcity,2024-01-15,2,261.37073305477145,1222.8039981033164,3,2,0,0.0,3
nested,w03-jan-scarcity,2024-01-15,3,267.33735108144424,1048.1398981461678,2,0,0,0.0,2
single03,w03-jan-scarcity,2024-01-15,3,311.5242037427157,1360.0116173399665,2,1,0,0.0,1
single005,w03-jan-scarcity,2024-01-15,3,217.81642421033325,757.2828229643818,2,0,0,0.0,2
ctxfree,w03-jan-scarcity,2024-01-15,3,206.75960608007074,812.6222022086596,2,0,0,0.0,2
windowonly,w03-jan-scarcity,2024-01-15,3,309.0829493311328,1222.8039981033164,2,2,0,0.0,2
nested,w03-jan-scarcity,2024-01-15,4,263.2499821986229,1048.1398981461678,1,0,0,0.0,1
single03,w03-jan-scarcity,2024-01-15,4,313.5902688810073,1360.0116173399665,1,0,0,0.0,0
single005,w03-jan-scarcity,2024-01-15,4,212.48355315859806,757.2828229643818,1,0,0,0.0,1
ctxfree,w03-jan-scarcity,2024-01-15,4,205.46011479655442,812.6222022086596,1,0,0,0.0,1
windowonly,w03-jan-scarcity,2024-01-15,4,301.84231863861856,1222.8039981033164,1,1,0,0.0,1
nested,w03-jan-scarcity,2024-01-15,5,246.7473388830457,1048.1398981461678,3,0,0,0.0,2
nested,w03-jan-scarcity,2024-01-15,6,294.10676534702054,1048.1398981461678,0,0,0,0.0,0
nested,w03-jan-scarcity,2024-01-15,7,264.7733741800163,1048.1398981461678,1,0,0,0.0,1
nested,w03-jan-scarcity,2024-01-15,8,211.26737196873108,1048.1398981461678,4,0,0,0.0,3
nested,w03-jan-scarcity,2024-01-15,9,220.11915417323348,1048.1398981461678,5,1,0,0.0,4
