date,seed,hour,start_err_K,in_ball,warm,in_box,failed
2024-01-14,2,9,15.812656580710303,False,True,False,True
2024-01-14,3,9,1.9144495306956486,False,True,False,False
2024-01-14,5,17,4.418195666290067,False,True,False,False
2024-01-14,7,17,2.2356229925511073,False,True,True,False
2024-01-14,9,17,5.281719586330588,False,True,True,False
2024-01-14,11,9,6.8018452543209875,False,True,True,False
2024-01-14,12,17,5.083475244101301,False,True,True,False
2024-01-14,14,17,5.4193674823181865,False,True,False,True
2024-01-14,16,9,1.6017828498838824,False,True,True,False
2024-01-14,17,9,6.491137844230373,False,True,True,False
2024-01-14,18,17,7.118471842099787,False,True,True,False
2024-01-15,0,23,1.291032769265243,False,False,True,False
2024-01-15,1,21,1.9600207553404303,False,True,True,False
2024-01-15,2,6,8.588435263862657,False,True,True,False
2024-01-15,2,21,4.288332426315954,False,True,True,False
2024-01-15,2,23,5.429738654040328,False,True,True,False
2024-01-15,3,19,0.8751879495632906,True,True,True,False
2024-01-15,3,21,11.151284139970493,False,True,True,False
2024-01-15,4,12,1.2926511758903771,False,True,True,False
2024-01-15,5,0,0.0,True,False,True,False
2024-01-15,5,17,4.418195654517255,False,True,False,False
2024-01-15,5,23,4.045453960113512,False,True,True,False
2024-01-15,7,23,4.951692212710661,False,True,True,False
2024-01-15,8,0,0.0,True,False,True,False
2024-01-15,8,8,0.2004498280906084,True,True,False,False
2024-01-15,8,10,10.226232122844543,False,True,True,False
2024-01-15,8,19,4.4944117665732435,False,True,True,False
2024-01-15,9,0,0.0,True,False,True,False
2024-01-15,9,2,3.0790411783248075,False,True,True,False
2024-01-15,9,12,0.44203246919649075,True,True,True,False
2024-01-15,9,21,0.5243049051803368,True,True,True,False
2024-01-15,9,23,7.9641540272454066,False,True,False,True
2024-01-15,10,17,1.7144419921868064,False,False,True,False
2024-01-15,12,10,5.374636574577856,False,True,True,False
2024-01-15,12,21,1.8443486089718135,False,True,False,True
2024-01-15,12,23,6.408227917357259,False,True,False,True
2024-01-15,13,4,1.7728234947479606,False,True,True,False
2024-01-15,13,8,1.5954422443384075,False,False,False,False
2024-01-15,13,12,3.085709969559069,False,True,True,False
2024-01-15,14,10,1.4572972264770812,False,False,False,False
2024-01-15,14,21,2.448088269306119,False,True,True,False
2024-01-15,15,6,3.025390414820535,False,False,True,False
2024-01-15,16,10,5.492095692385583,False,True,True,False
2024-01-15,18,4,1.5172539198244763,False,True,True,False
2024-01-15,19,10,1.8781178093572066,False,True,True,False
2024-01-16,0,16,5.0893209302813815,False,True,True,False
2024-01-16,1,10,2.060789603723201,False,True,True,False
2024-01-16,1,20,2.1009195794473214,False,True,True,False
2024-01-16,2,6,8.588475455110533,False,True,True,False
2024-01-16,3,12,7.966730437566248,False,True,True,False
2024-01-16,4,1,3.4558845143939507,False,True,True,False
2024-01-16,6,4,6.880610661688358,False,True,True,False
2024-01-16,6,8,6.950022851950216,False,True,False,True
2024-01-16,6,22,6.187640352902115,False,True,True,False
2024-01-16,7,1,1.991176576747442,False,False,True,False
2024-01-16,7,12,3.0557894261183023,False,True,True,False
2024-01-16,7,16,0.833751826280313,True,True,True,False
2024-01-16,8,1,3.3532738175219023,False,True,True,False
2024-01-16,8,18,4.582825303190738,False,True,True,False
2024-01-16,10,4,7.003090932167588,False,True,True,True
2024-01-16,10,6,1.7589144925134477,False,True,True,False
