date,p_act,gamma,sum_q_kW,exp_value
2024-01-16,0.05,1.5,1084.1,704.6
2024-01-16,0.05,2.0,1084.1,701.9
2024-01-16,0.05,3.0,1084.1,696.5
2024-01-16,0.15,1.5,973.5,669.5
2024-01-16,0.15,2.0,973.5,661.4
2024-01-16,0.15,3.0,973.5,645.2
2024-01-16,0.3,1.5,865.7,624.0
2024-01-16,0.3,2.0,865.7,608.0
2024-01-16,0.3,3.0,865.7,575.9
2024-04-03,0.05,1.5,271.1,13.0
2024-04-03,0.05,2.0,271.1,13.0
2024-04-03,0.05,3.0,271.1,12.9
2024-04-03,0.15,1.5,181.3,10.5
2024-04-03,0.15,2.0,181.3,10.3
2024-04-03,0.15,3.0,181.3,10.0
2024-04-03,0.3,1.5,181.3,7.5
2024-04-03,0.3,2.0,181.3,7.2
2024-04-03,0.3,3.0,181.3,6.6
